ID,回,順位,チーム名,フリガナ,得点,男子,女子,混合
1,77,1位,セ・二俣川,セントラルフィットネスクラブフタマタガワ,957.0,539.0,338.0,80.0
2,77,2位,セ・成城,セントラルウェルネスクラブセイジョウ,883.0,327.0,453.0,103.0
3,77,3位,セ・阿佐谷,トーアセントラルフィットネスクラブアサガヤ,513.0,256.0,196.0,61.0
4,77,4位,セ・市ヶ尾,セントラルフィットネスクラブイチガオ,447.0,274.0,154.0,19.0
5,77,5位,セ・葛西,セントラルウェルネスクラブカサイ,437.0,185.0,238.0,14.0
6,77,6位,セ・長津田,セントラルウェルネスクラブナガツタミナミダイ,416.0,186.0,175.0,55.0
7,77,7位,セ・清瀬,セントラルウェルネスクラブキヨセ,376.0,299.0,73.0,4.0
8,77,8位,セ・慶應日吉,セントラルウェルネスクラブケイオウヒヨシ,366.0,129.0,208.0,29.0
9,77,9位,セ・天王洲,セントラルフィットネスクラブテンノウズ,305.0,157.0,144.0,4.0
10,77,10位,セ・大森,セントラルウェルネスクラブオオモリ,286.0,108.0,165.0,13.0
11,77,11位,セ・おおたか,セントラルウェルネスクラブオオタカノモリ,275.0,106.0,169.0,0.0
12,77,12位,セ・大宮宮原,セントラルウェルネスクラブオオミヤミヤハラ,252.0,195.0,46.0,11.0
13,77,13位,セ・武蔵小杉,セントラルフィットネスクラブムサシコスギ,249.0,184.0,49.0,16.0
14,77,14位,セ・松戸,ニッセイセントラルフィットネスクラブマツド,237.0,67.0,167.0,3.0
15,77,15位,セ・越谷,セントラルウェルネスクラブコシガヤ,226.0,77.0,149.0,0.0
16,77,16位,セ・用賀,セントラルフィットネスクラブヨウガ,220.0,94.0,118.0,8.0
17,77,17位,セ・南千住,セ・ウェルネルクラブミナミセンジュ,214.0,103.0,104.0,7.0
18,77,18位,セ・成瀬,セントラルウェルネスクラブナルセ,208.0,118.0,72.0,18.0
19,77,19位,セ・市川,セントラルフィットネスクラブイチカワ,175.0,109.0,65.0,1.0
20,77,20位,セ・志木,セントラルウェルネスクラブシキ,162.0,89.0,73.0,0.0
21,77,21位,セ・前橋,セントラルウェルネスクラブマエバシ,158.0,139.0,19.0,0.0
22,77,22位,セ・八王子,セントラルフィットネスクラブハチオウジ,156.0,104.0,37.0,15.0
23,77,23位,セ・我孫子,セントラルウェルネスクラブアビコ,144.0,46.0,90.0,8.0
24,77,24位,セ・南青山,セントラルフィットネスクラブミナミアオヤマ,136.0,42.0,87.0,7.0
25,77,25位,セ・目黒,セントラルフィットネスクラブメグロ,135.0,26.0,102.0,7.0
26,77,26位,セ・桶川北本,セントラルウェルネスクラブオケガワキタモト,119.0,48.0,64.0,7.0
27,77,26位,セ・上池袋,セントラルウェルネスクラブカミイケブクロ,119.0,62.0,56.0,1.0
28,77,28位,セ・茂原,セントラルフィットネスクラブモバラ,117.0,61.0,51.0,5.0
