ID,回,順位,チーム名,フリガナ,得点,男子,女子,混合
54,75,54位,Ｇ－ＳＰＡ,ｺﾞｰﾙﾃﾞﾝｽﾊﾟニューオータニ,45,11,29,5
55,75,55位,セ・青砥,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞアオト,43,12,31,0
56,75,56位,セ・能見台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞノウケンダイ,37,7,30,0
57,75,57位,曽谷・セ,ｿﾔｾﾝﾄﾗﾙｽｲﾑｸﾗﾌﾞ,35,18,17,0
58,75,57位,セ・平塚,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞヒラツカ,35,0,35,0
59,75,59位,セ・蘇我,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞソガ,34,7,27,0
60,75,60位,セ・東戸塚,ｾﾝﾄﾗﾙｽﾎﾟｰﾂクラブヒガシトツカ,33,33,0,0
61,75,61位,セ・新浦安,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞシンウラヤス,30,30,0,0
62,75,62位,セ・Ｆ東戸塚,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞヒガシトツカ,29,27,2,0
63,75,63位,セ・東十条,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞヒガシジュウジョ,27,27,0,0
64,75,64位,セ・八千代台,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞヤチヨダイ,26,26,0,0
65,75,65位,セ・川越,ｾﾝﾄﾗﾙスイムクラブカワゴエ,23,16,7,0
66,75,66位,セ・Ｆ宇都宮,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞウツノミヤ,21,13,8,0
67,75,66位,セ・亀有,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞカメアリ,21,8,13,0
68,75,68位,セ・福島,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞフクシマ,17,17,0,0
69,75,68位,墨田区体育館,スミダクソウゴウタイイクカン,17,5,12,0
70,75,70位,セ・宇都宮,ｾﾝﾄﾗﾙｽﾎﾟｰﾂクラブウツノミヤ,16,0,16,0
71,75,70位,セ・本郷台,ｾﾝﾄﾗﾙスイムクラブホンゴウダイ,16,9,7,0
72,75,70位,セ・新川崎,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞシンカワサキ,16,13,3,0
73,75,73位,ザバス藤が丘,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞフジガオカ,13,10,3,0
74,75,74位,セ・岩槻,ｾﾝﾄﾗﾙｽﾎﾟｰﾂクラブイワツキ,5,5,0,0
