ID,回,順位,チーム名,フリガナ,得点,男子,女子,混合
35,74,35位,セ・新都心    セントラルウェルネスクラブ サイタマシントシン 216.0点    54.0点     162.0点,34位 セ・谷津      セントラルフィットネスクラブ ヤツ            218.0点    108.0点     110.0点       0.0点,0.0,0,0,0
36,74,36位,セ・青砥,セントラルフィットネスクラブ アオト,212.0,105.0,107.0,0.0
37,74,37位,セ・能見台,セントラルウェルネスクラブ ノウケンダイ,211.0,149.0,62.0,0.0
38,74,38位,セ・西東京,セントラルフィットネスクラブ ニシトウキョウ,206.0,150.0,56.0,0.0
39,74,39位,セ・蒲田,ラヴィセントラルフィットネスクラブ カマタ,200.0,147.0,53.0,0.0
40,74,40位,CS南行徳,セントラルスポーツミナミギョウトク,197.0,0.0,197.0,0.0
41,74,40位,ザバス川崎,ザバススポーツクラブ カワサキ,197.0,134.0,62.0,1.0
42,74,42位,セ・湘南ＬＴ  セントラルフィットネスクラブ ショウナンエルテ 193.0点      0.0点     193.0点,40位 ザバス川崎    ザバススポーツクラブ カワサキ                197.0点    134.0点      62.0点       1.0点,0.0,0,0,0
43,74,43位,セ・志木,セントラルウェルネスクラブ シキ,181.0,101.0,80.0,0.0
44,74,44位,セ・東戸塚,セントラルスポーツクラブ ヒガシトツカ,170.0,81.0,62.0,27.0
45,74,45位,セ・南青山,セントラルフィットネスクラブ ミナミアオヤマ,158.0,74.0,84.0,0.0
46,74,46位,ザバス金沢ハ,ザバススポーツクラブ カナザワハッケイ,153.0,93.0,51.0,9.0
47,74,47位,セ・館山,セントラルスポーツクラブ タテヤマ,150.0,82.0,68.0,0.0
48,74,48位,セ・平塚,セントラルフィットネスクラブ ヒラツカ,148.0,35.0,113.0,0.0
49,74,49位,セ・本郷台,セントラルスイムクラブ ホンゴウダイ,147.0,33.0,114.0,0.0
50,74,50位,セ・長沼,セントラルウェルネスクラブ ナガヌマ,140.0,50.0,90.0,0.0
51,74,51位,セ・戸塚,セントラルスポーツクラブ トツカ,132.0,0.0,132.0,0.0
52,74,52位,曽谷・セ,ソヤセントラルスイムクラブ,126.0,49.0,77.0,0.0
53,74,53位,セ・南宇都宮,セントラルスポーツクラブ ミナミウツノミヤ,116.0,29.0,87.0,0.0
54,74,54位,セ・柏,セントラルウェルネスクラブ カシワ,113.0,37.0,76.0,0.0
55,74,55位,セ・八王子,セントラルフィットネスクラブ ハチオウジ,112.0,35.0,76.0,1.0
56,74,56位,セ・府中,セントラルフィットネスクラブ フチュウ,109.0,36.0,73.0,0.0
57,74,57位,セ・八千代台,セントラルフィットネスクラブ ヤチヨダイ,95.0,95.0,0.0,0.0
58,74,58位,セ・下北沢,セントラルフィットネスクラブ シモキタザワ,94.0,91.0,3.0,0.0
59,74,59位,セ・稲毛海岸,セントラルフィットネスクラブ イナゲカイガン,88.0,35.0,53.0,0.0
60,74,60位,セ・溝ノロ,セントラルフィットネスクラブ ミゾノクチ,73.0,38.0,35.0,0.0
61,74,61位,墨田区体育館,スミダクソリウゴウタイイクカン,68.0,36.0,32.0,0.0
62,74,62位,セ・亀有,セントラルフィットネスクラブ カメアリ,67.0,55.0,12.0,0.0
63,74,63位,セ・東十条,セントラルウェルネスクラブ ヒガシジュウジョウ,54.0,0.0,54.0,0.0
64,74,63位,ザバス鶴見,ザバススポーツクラブ ツルミ,54.0,54.0,0.0,0.0
65,74,65位,セ・新川崎,セントラルフィットネスクラブ シンカワサキ,52.0,52.0,0.0,0.0
66,74,66位,セ・前橋,セントラルウェルネスクラブ マエバシ,50.0,50.0,0.0,0.0
67,74,67位,セ・西台,セントラルフィットネスクラブ ニシダイ,40.0,40.0,0.0,0.0
68,74,68位,セ・郡山,セントラルフィットネスクラブ コオリヤマ,38.0,0.0,38.0,0.0
69,74,69位,セ・Ｆ東戸塚,セントラルフィットネスクラブ ヒガシトツカ,37.0,35.0,2.0,0.0
70,74,70位,ザバス藤が丘,ザバススポーツクラブ フジガオカ,34.0,0.0,34.0,0.0
71,74,71位,セ・新三郷,セントラルフィットネスクラブ シンミサト,32.0,1.0,31.0,0.0
72,74,72位,セ・西新井,セントラルウェルネスクラブ ニシアライ,30.0,0.0,30.0,0.0
73,74,73位,セ・藤沢,セントラルフィットネスクラブ フジサワ,29.0,29.0,0.0,0.0
74,74,74位,セ・Ｆ宇都宮,セントラルフィットネスクラブ ウツノミヤ,25.0,8.0,17.0,0.0
75,74,75位,ザバス和光,ザバススポーツクラブ ワコウ,23.0,23.0,0.0,0.0
76,74,76位,セ・高崎,セントラルウェルネスクラブ タカサキ,22.0,22.0,0.0,0.0
77,74,77位,セ・宇都宮,セントラルスポーツクラブ ウツノミヤ,19.0,0.0,19.0,0.0
78,74,78位,セ・武蔵小杉,セントラルフィットネスクラブ ムサシコスギ,8.0,8.0,0.0,0.0
79,74,79位,セ・越谷ＬＴ,セントラルフィットネスクラブ コシガヤレイクタウ,3.0,0.0,3.0,0.0
80,74,80位,セ・川越,セントラルスイムクラブ カワゴエ,1.0,0.0,1.0,0.0
