レース番号,競技性別,競技名,世界記録,日本記録,年齢区分,大会記録,順位,チーム名,合計年齢,水路,時間,大会新,LAPタイム,選手名,飛込タイム,タイム
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,1,セ・二俣川,247歳,3/2,2:24.01,,"37.22,1:15.02,1:52.19",永瀬秀子,0.32,31.82
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,2,セ・慶應日吉,244歳,2/4,2:38.42,,"40.77,1:24.46,2:04.39",田村明美,0.83,40.77
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,2,セ・慶應日吉,244歳,2/4,2:38.42,,"40.77,1:24.46,2:04.39",中野朗子,0.69,43.69
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,2,セ・慶應日吉,244歳,2/4,2:38.42,,"40.77,1:24.46,2:04.39",井手敦子,0.78,39.93
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,2,セ・慶應日吉,244歳,2/4,2:38.42,,"40.77,1:24.46,2:04.39",前畑章子,0.45,34.03
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,3,セ・おおたか,251歳,2/2,2:41.45,,"37.19,1:20.76,2:02.85",五十嵐知佐,0.82,37.19
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,3,セ・おおたか,251歳,2/2,2:41.45,,"37.19,1:20.76,2:02.85",育村博子,0.56,43.57
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,3,セ・おおたか,251歳,2/2,2:41.45,,"37.19,1:20.76,2:02.85",岡村悦子,0.78,42.09
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,3,セ・おおたか,251歳,2/2,2:41.45,,"37.19,1:20.76,2:02.85",野崎由美子,0.65,38.6
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,4,セ・成城,255歳,2/5,2:46.90,,"40.79,1:21.37,2:06.78",茂櫛典子,0.73,40.79
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,4,セ・成城,255歳,2/5,2:46.90,,"40.79,1:21.37,2:06.78",草森理子,0.42,40.58
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,4,セ・成城,255歳,2/5,2:46.90,,"40.79,1:21.37,2:06.78",柳沢智子,0.46,45.41
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,4,セ・成城,255歳,2/5,2:46.90,,"40.79,1:21.37,2:06.78",田代眞理子,0.36,40.12
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,5,セ・大宮宮原,249歳,2/9,2:48.66,,"38.22,1:21.34,2:07.45",西田三佐子,0.80,38.22
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,5,セ・大宮宮原,249歳,2/9,2:48.66,,"38.22,1:21.34,2:07.45",臼井希代子,0.54,43.12
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,5,セ・大宮宮原,249歳,2/9,2:48.66,,"38.22,1:21.34,2:07.45",関矢秀子,0.48,46.11
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,5,セ・大宮宮原,249歳,2/9,2:48.66,,"38.22,1:21.34,2:07.45",坂井慶子,0.41,41.21
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,6,セ・慶應日吉,252歳,1/4,2:55.69,,"41.88,1:31.56,2:17.73",山田智子,0.88,41.88
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,6,セ・慶應日吉,252歳,1/4,2:55.69,,"41.88,1:31.56,2:17.73",榮真須美,0.95,49.68
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,6,セ・慶應日吉,252歳,1/4,2:55.69,,"41.88,1:31.56,2:17.73",原田由美子,0.94,46.17
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,6,セ・慶應日吉,252歳,1/4,2:55.69,,"41.88,1:31.56,2:17.73",森谷登志江,0.4,37.96
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,7,セ・上池袋,267歳,1/5,3:04.13,,"48.94,1:35.27,2:23.19",黒川慶子,0.90,48.94
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,7,セ・上池袋,267歳,1/5,3:04.13,,"48.94,1:35.27,2:23.19",古旗美鈴,0.69,46.33
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,7,セ・上池袋,267歳,1/5,3:04.13,,"48.94,1:35.27,2:23.19",上松弘子,0.27,47.92
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,7,セ・上池袋,267歳,1/5,3:04.13,,"48.94,1:35.27,2:23.19",窪田久恵,,40.94
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,8,セ・大森,248歳,2/1,3:13.00,,"39.28,1:32.06,2:23.35",酒井貴代,0.78,39.28
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,8,セ・大森,248歳,2/1,3:13.00,,"39.28,1:32.06,2:23.35",池田真理子,,52.78
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,8,セ・大森,248歳,2/1,3:13.00,,"39.28,1:32.06,2:23.35",中島初美,0.71,51.29
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,8,セ・大森,248歳,2/1,3:13.00,,"39.28,1:32.06,2:23.35",佐々木政子,0.48,49.65
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,9,セ・南千住,267歳,1/9,3:23.24,,"54.5,1:48.96,2:45.14",于亜芝,1.15,54.50
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,9,セ・南千住,267歳,1/9,3:23.24,,"54.5,1:48.96,2:45.14",大手佳江,0.63,54.46
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,9,セ・南千住,267歳,1/9,3:23.24,,"54.5,1:48.96,2:45.14",原田早苗,,56.18
No.3,女子,4x50mフリ-リレ-,2:00.75,2:07.60,240~279歳,2:18.66,9,セ・南千住,267歳,1/9,3:23.24,,"54.5,1:48.96,2:45.14",町田麻里,,38.1
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,1,セ・市ヶ尾,200歳,3/4,2:14.79,,"33.08,1:07.59,1:44.81",小山知子,0.91,33.08
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,1,セ・市ヶ尾,200歳,3/4,2:14.79,,"33.08,1:07.59,1:44.81",高橋麻子,0.41,34.51
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,1,セ・市ヶ尾,200歳,3/4,2:14.79,,"33.08,1:07.59,1:44.81",白須靖子,0.46,37.22
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,1,セ・市ヶ尾,200歳,3/4,2:14.79,,"33.08,1:07.59,1:44.81",池田百合子,0.37,29.98
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,2,セ・阿佐谷,221歳,3/9,2:24.59,,"35.77,1:11.06,1:49.38",石原なおみ,0.82,35.77
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,2,セ・阿佐谷,221歳,3/9,2:24.59,,"35.77,1:11.06,1:49.38",棚網恵理,0.33,35.29
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,2,セ・阿佐谷,221歳,3/9,2:24.59,,"35.77,1:11.06,1:49.38",野島正代,0.08,38.32
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,2,セ・阿佐谷,221歳,3/9,2:24.59,,"35.77,1:11.06,1:49.38",小野真佐子,0.02,35.21
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,3,セ・慶應日吉,202歳,2/3,2:37.21,,"38.88,1:18.90,2:01.71",RacaruGabriela,0.94,38.88
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,3,セ・慶應日吉,202歳,2/3,2:37.21,,"38.88,1:18.90,2:01.71",高見沢ゆみ子,0.31,40.02
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,3,セ・慶應日吉,202歳,2/3,2:37.21,,"38.88,1:18.90,2:01.71",鈴木夏実,0.93,42.81
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,3,セ・慶應日吉,202歳,2/3,2:37.21,,"38.88,1:18.90,2:01.71",福本麻美,0.53,35.5
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,4,ザノス川崎,236歳,2/10,2:47.41,,"39.05,1:24.11,2:07.89",中山翠,0.84,39.05
No.3,女子,4x50mフリ-リレ-,1:54.10,1:58.55,200~239歳,2:09.81,4,ザノス川崎,236歳,2/10,2:47.41,,"39.05,1:24.11,2:07.89",伊藤春美,0.29,45.06
