team_name
セ・二俣川
セ・阿佐谷             ﾄｰｱｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｱｻｶﾞﾔ 1509.0点   881.0点   529.0点
セ・成城
セ・慶應日吉
セ・葛西
セ・長津田
セ・清瀬
セ・大森
セ・大宮宮原
セ・天王洲
セ・おおたか
セ・松戸
セ・南千住
セ・越谷
セ・市ヶ尾
セ・用賀
セ・茂原
セ・我孫子
セ・市川
セ・自由が丘
セ・流山
セ・トレッサ
セ・千葉みなと
セ・志木
セ・戸塚
セ・目黒
セ・谷津
セ・蘇我
クリーンスパ
セ・八王子
セ・福生
セ・桶川北本
セ・ときわ台
セ・上池袋
セ・成瀬
セ・南青山
セ・館山
セ・横浜
CS南行徳
ザバス金沢八
セ・蒲田
セ・湘南ＬＴ
Ｇ－ＳＰＡ
セ・下北沢
セ・能見台
セ・新浦安
セ・府中
ザバス川崎
セ・西東京
曽谷・セ
セ・武蔵小杉
セ・新都心
セ・溝ノ口
セ・Ｆ宇都宮
セ・南宇都宮
セ・宇都宮
セ・柏
セ・青砥
ザバス鶴見
セ・東戸塚
セ・高崎
セ・新川崎
墨田区体育館
セ・稲毛海岸
セ・久喜
セ・亀有
セ・Ｓ湘南台
セ・長沼
セ・西新井
セ・藤沢
セ・八千代代
セ・川越
セ・平塚
セ・福島
セ・岩槻
セ・東十条
セ・Ｆ東戸塚
セ・新三郷
セ・越谷ＬＴ
セ・前橋
セ・西台
