round,pool_type,race_no,gender,event_name,age_group_label,world_record,japan_record,meet_record,rank,team_name,combined_age,lane,time_display,time_seconds,is_meet_record,is_japan_record,is_world_record,lap_times
77,長水路,3,女子,4×50mフリーリレー,320～359歳,2:52.72,2:52.72,3:16.24,1,セ・松戸,324,1/3,3:16.57,196.57,False,False,False,"44.20,1:30.15,2:21.31"
77,長水路,3,女子,4×50mフリーリレー,320～359歳,2:52.72,2:52.72,3:16.24,2,セ・天王洲,324,1/1,3:57.61,237.61,False,False,False,
77,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:31.16,2:45.72,1,セ・天王洲,283,1/6,2:53.58,173.57999999999998,False,False,False,"43.95,1:31.72,2:12.41"
77,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:31.16,2:45.72,2,セ・大森,286,2/8,3:03.59,183.59,False,False,False,"53.01,1:36.82,2:22.65"
77,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:31.16,2:45.72,3,セ・用賀,288,1/7,3:10.56,190.56,False,False,False,"46.03,1:41.27,2:29.32"
77,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:31.16,2:45.72,4,セ・おおたか,306,1/2,3:22.20,202.2,False,False,False,"46.13,1:36.20,2:33.57"
77,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:31.16,2:45.72,5,セ・天王洲,286,1/8,3:24.98,204.98,False,False,False,"53.05,1:43.91,2:42.97"
77,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,1,セ・二俣川,247,3/2,2:24.01,144.01,False,False,False,"37.22,1:15.02,1:52.19"
77,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,2,セ・慶應日吉,244,2/4,2:38.42,158.42000000000002,False,False,False,"40.77,1:24.46,2:04.39"
77,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,3,セ・おおたか,251,2/2,2:41.45,161.45,False,False,False,"37.19,1:20.76,2:02.85"
77,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,4,セ・成城,255,2/5,2:46.90,166.9,False,False,False,"40.79,1:21.37,2:06.78"
77,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,5,セ・大宮宮原,249,2/9,2:48.66,168.66,False,False,False,"38.22,1:21.34,2:07.45"
77,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,6,セ・慶應日吉,252,1/4,2:55.69,175.69,False,False,False,"41.88,1:31.56,2:17.73"
77,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,7,セ・上池袋,267,1/5,3:04.13,184.13,False,False,False,"48.94,1:35.27,2:23.19"
77,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,8,セ・大森,248,2/1,3:13.00,193.0,False,False,False,"39.28,1:32.06,2:23.35"
77,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,9,セ・南千住,267,1/9,3:23.24,203.24,False,False,False,"54.50,1:48.96,2:45.14"
77,長水路,3,女子,4×50mフリーリレー,200～239歳,1:54.10,1:58.55,2:09.81,1,セ・市ヶ尾,200,3/4,2:14.79,134.79,False,False,False,"33.08,1:07.59,1:44.81"
77,長水路,3,女子,4×50mフリーリレー,200～239歳,1:54.10,1:58.55,2:09.81,2,セ・阿佐谷,221,3/9,2:24.59,144.59,False,False,False,"35.77,1:11.06,1:49.38"
77,長水路,3,女子,4×50mフリーリレー,200～239歳,1:54.10,1:58.55,2:09.81,3,セ・慶應日吉,202,2/3,2:37.21,157.21,False,False,False,"38.88,1:18.90,2:01.71"
77,長水路,3,女子,4×50mフリーリレー,200～239歳,1:54.10,1:58.55,2:09.81,4,ザバス川崎,236,2/10,2:47.41,167.41,False,False,False,"39.05,1:24.11,2:07.89"
77,長水路,3,女子,4×50mフリーリレー,160～199歳,1:48.44,1:54.99,2:05.08,1,セ・成城,199,3/7,2:15.14,135.14,False,False,False,"33.43,1:08.34,1:44.60"
