round,pool_type,rank,team_name,furigana,total_points,male_points,female_points,mixed_points
77,長水路,1,セ・二俣川,セントラルフィットネスクラブフタマタガワ,957.0,539.0,338.0,80.0
77,長水路,2,セ・成城,セントラルウェルネスクラブセイジョウ,883.0,327.0,453.0,103.0
77,長水路,3,セ・阿佐谷,トーアセントラルフィットネスクラブアサガヤ,513.0,256.0,196.0,61.0
77,長水路,4,セ・市ヶ尾,セントラルフィットネスクラブイチガオ,447.0,274.0,154.0,19.0
77,長水路,5,セ・葛西,セントラルウェルネスクラブカサイ,437.0,185.0,238.0,14.0
77,長水路,6,セ・長津田,セントラルウェルネスクラブナガツタミナミダイ,416.0,186.0,175.0,55.0
77,長水路,7,セ・清瀬,セントラルウェルネスクラブキヨセ,376.0,299.0,73.0,4.0
77,長水路,8,セ・慶應日吉,セントラルウェルネスクラブケイオウヒヨシ,366.0,129.0,208.0,29.0
77,長水路,9,セ・天王洲,セントラルフィットネスクラブテンノウズ,305.0,157.0,144.0,4.0
77,長水路,10,セ・大森,セントラルウェルネスクラブオオモリ,286.0,108.0,165.0,13.0
77,長水路,11,セ・おおたか,セントラルウェルネスクラブオオタカノモリ,275.0,106.0,169.0,0.0
77,長水路,12,セ・大宮宮原,セントラルウェルネスクラブオオミヤミヤハラ,252.0,195.0,46.0,11.0
77,長水路,13,セ・武蔵小杉,セントラルフィットネスクラブムサシコスギ,249.0,184.0,49.0,16.0
77,長水路,14,セ・松戸,ニッセイセントラルフィットネスクラブマツド,237.0,67.0,167.0,3.0
77,長水路,15,セ・越谷,セントラルウェルネスクラブコシガヤ,226.0,77.0,149.0,0.0
77,長水路,16,セ・用賀,セントラルフィットネスクラブヨウガ,220.0,94.0,118.0,8.0
77,長水路,17,セ・南千住,セ・ウェルネルクラブミナミセンジュ,214.0,103.0,104.0,7.0
77,長水路,18,セ・成瀬,セントラルウェルネスクラブナルセ,208.0,118.0,72.0,18.0
77,長水路,19,セ・市川,セントラルフィットネスクラブイチカワ,175.0,109.0,65.0,1.0
77,長水路,20,セ・志木,セントラルウェルネスクラブシキ,162.0,89.0,73.0,0.0
77,長水路,21,セ・前橋,セントラルウェルネスクラブマエバシ,158.0,139.0,19.0,0.0
77,長水路,22,セ・八王子,セントラルフィットネスクラブハチオウジ,156.0,104.0,37.0,15.0
77,長水路,23,セ・我孫子,セントラルウェルネスクラブアビコ,144.0,46.0,90.0,8.0
77,長水路,24,セ・南青山,セントラルフィットネスクラブミナミアオヤマ,136.0,42.0,87.0,7.0
77,長水路,25,セ・目黒,セントラルフィットネスクラブメグロ,135.0,26.0,102.0,7.0
77,長水路,26,セ・桶川北本,セントラルウェルネスクラブオケガワキタモト,119.0,48.0,64.0,7.0
77,長水路,26,セ・上池袋,セントラルウェルネスクラブカミイケブクロ,119.0,62.0,56.0,1.0
77,長水路,28,セ・茂原,セントラルフィットネスクラブモバラ,117.0,61.0,51.0,5.0
77,長水路,29,セ・平塚,セントラルフィットネスクラブヒラツカ,111.0,35.0,67.0,9.0
77,長水路,30,セ・千葉みなと,セントラルフィットネスクラブチバミナト,108.0,46.0,62.0,0.0
77,長水路,31,ザバス鶴見,ザバススポーツクラブツルミ,106.0,58.0,39.0,9.0
77,長水路,32,セ・藤沢,セントラルフィットネスクラブフジサワ,105.0,32.0,73.0,0.0
77,長水路,33,セ・柏,セントラルウェルネスクラブカシワ,98.0,91.0,7.0,0.0
77,長水路,34,セ・自由が丘,セントラルフィットネスクラブジユウガオカ,97.0,19.0,78.0,0.0
77,長水路,35,セ・能見台,セントラルウェルネスクラブノウケンダイ,95.0,38.0,57.0,0.0
77,長水路,36,セ・流山,セントラルフィットネスクラブナガレヤマ,94.0,67.0,27.0,0.0
77,長水路,37,ザバス川崎,ザバススポーツクラブカワサキ,93.0,21.0,64.0,8.0
77,長水路,37,セ・戸塚,セントラルスポーツクラブトツカ,93.0,0.0,93.0,0.0
77,長水路,39,セ・ときわ台,セントラルウェルネスクラブトキワダイ,92.0,47.0,45.0,0.0
77,長水路,40,セ・福生,セントラルスポーツフッサ,89.0,52.0,37.0,0.0
77,長水路,41,セ・トレッサ,セントラルウェルネスクラブトレッサオオクラヤマ,82.0,42.0,40.0,0.0
77,長水路,42,セ・蒲田,ラヴィセントラルフィットネスクラブカマタ,79.0,41.0,38.0,0.0
77,長水路,43,セ・南宇都宮,セントラルスポーツクラブミナミウツノミヤ,77.0,14.0,63.0,0.0
77,長水路,44,セ・横浜,セントラルスイムクラブヨコハマ,74.0,14.0,56.0,4.0
77,長水路,45,セ・西東京,セントラルフィットネスクラブニシトウキョウ,64.0,36.0,28.0,0.0
77,長水路,46,墨田区体育館,スミダクソウゴウタイイクカン,62.0,25.0,37.0,0.0
77,長水路,47,セ・新都心,セントラルウェルネスクラブサイタマシントシン,55.0,7.0,43.0,5.0
77,長水路,48,セ・谷津,セントラルフィットネスクラブヤツ,52.0,8.0,44.0,0.0
77,長水路,49,曽谷・セ,ソヤセントラルスイムクラブ,49.0,11.0,38.0,0.0
77,長水路,49,セ・東十条,セントラルウェルネスクラブヒガシジュウジョ,49.0,4.0,45.0,0.0
77,長水路,51,セ・下北沢,セントラルフィットネスクラブシモキタザワ,48.0,29.0,19.0,0.0
77,長水路,52,セ・S湘南台,セントラルスイムクラブショウナンダイ,46.0,27.0,19.0,0.0
77,長水路,53,CS南行徳,セントラルスポーツミナミギョウトク,45.0,0.0,45.0,0.0
77,長水路,53,G-SPA,ゴールデンスパニューオータニ,45.0,20.0,25.0,0.0
77,長水路,53,ミズノMT,ミズノマスターズチーム,45.0,35.0,10.0,0.0
77,長水路,56,セ・府中,セントラルフィットネスクラブフチュウ,42.0,13.0,27.0,2.0
77,長水路,57,セ・館山,セントラルスポーツクラブタテヤマ,41.0,19.0,22.0,0.0
77,長水路,58,ザバス八景,ザバススポーツクラブカナザワハッケイ,40.0,6.0,34.0,0.0
77,長水路,59,セ・東戸塚,セントラルスポーツクラブヒガシトツカ,39.0,39.0,0.0,0.0
77,長水路,60,セ・稲毛海岸,セントラルフィットネスクラブイナゲカイガン,36.0,16.0,20.0,0.0
77,長水路,61,セ・青砥,セントラルフィットネスクラブアオト,33.0,11.0,17.0,5.0
77,長水路,62,セ・久喜,セントラルウェルネスクラブニシジュウヨウキ,31.0,25.0,6.0,0.0
77,長水路,63,クリーンスパ,セントラルスポーツクリーンスパイチカワ,28.0,0.0,28.0,0.0
77,長水路,64,セ・宇都宮,セントラルスポーツクラブウツノミヤ,26.0,0.0,26.0,0.0
77,長水路,65,セ・F宇都宮,セントラルフィットネスクラブウツノミヤ,24.0,3.0,21.0,0.0
77,長水路,66,セ・長沼,セントラルウェルネスクラブナガヌマ,20.0,20.0,0.0,0.0
77,長水路,67,セ・蘇我,セントラルフィットネスクラブソガ,19.0,0.0,19.0,0.0
77,長水路,68,セ・溝ノ口,セントラルフィットネスクラブミゾノクチ,17.0,0.0,17.0,0.0
77,長水路,69,セ・岩槻,セントラルスポーツクラブイワツキ,16.0,16.0,0.0,0.0
77,長水路,70,セ・越谷LT           セントラルフィットネスクラブコシガヤレイクタウン 12.0点    0.0点   12.0点,69位 セ・岩槻             セントラルスポーツクラブイワツキ      16.0点   16.0点    0.0点    0.0点,0.0,0,0,0
77,長水路,71,セ・西新井,セントラルウェルネスクラブニシアライ,11.0,0.0,11.0,0.0
77,長水路,72,セ・川越,セントラルスイムクラブカワゴエ,10.0,0.0,2.0,8.0
77,長水路,72,セ・F東戸塚,セントラルフィットネスクラブヒガシトツカ,10.0,10.0,0.0,0.0
77,長水路,74,セ・新川崎,セントラルフィットネスクラブシンカワサキ,9.0,9.0,0.0,0.0
77,長水路,75,セ・亀有,セントラルフィットネスクラブカメアリ,7.0,7.0,0.0,0.0
77,長水路,75,セ・西台,セントラルフィットネスクラブニシダイ,7.0,7.0,0.0,0.0
77,長水路,75,セ・本郷台,セントラルスイムクラブホンゴウダイ,7.0,7.0,0.0,0.0
77,長水路,78,セ・福島,セントラルウェルネスクラブフクシマ,6.0,6.0,0.0,0.0
77,長水路,79,セ・八千代台,セントラルフィットネスクラブヤチヨダイ,3.0,3.0,0.0,0.0
