レース番号,競技性別,競技名,世界記録,日本記録,年齢区分,大会記録,順位,氏名,所属,水路,時間,飛込タイム,LAPタイム
No.24,,,,,,,4,山本勝,,,,0.53,
No.24,,,,,,,1,河野悟,,,,,
No.24,,,,,,,2,上沢絵里奈,,,,,
No.24,,,,,,,3,井手,,,,敦子,
No.24,,,,,,,4,松崎,,,,敏明,
No.24,,,,,,,1,二俣川,,,,172歳,26.06
No.24,,,,,,,1,前田崇行,,,,0.67,
No.24,,,,,,,2,吉池奈々,,,,0.39,
No.24,,,,,,,3,草野茜,,,,0.39,
No.24,,,,,,,4,前田康輔,,,,0.36,
No.24,,,,,,,2,慶應日吉,,,,166歳,25.02
No.24,,,,,,,1,菅原啓,,,,0.68,
No.24,,,,,,,2,前畑子,,,,0.33,
No.24,,,,,,,3,小豆澤和代,,,,0.74,
No.24,,,,,,,4,一田雄太,,,,0.29,
No.24,,,,,,,3,南青山,,,,164歳,33.55
No.24,,,,,,,1,友田智哲,,,,0.73,
No.24,,,,,,,2,松尾勇太,,,,0.47,
No.24,,,,,,,3,竹山睦月,,,,0.36,
No.24,,,,,,,4,山賀勝之,,,,0.44,
No.24,,,,,,,4,袖ヶ浦,,,,188歳,27.38
No.24,,,,,,,1,畠山雅和,,,,0.70,
No.24,,,,,,,2,加藤寿起,,,,0.17,
No.24,,,,,,,3,櫻井理恵子,,,,0.62,
No.24,,,,,,,4,豊島葉子,,,,0.03,
No.24,,,,,,,5,葛西,,,,172歳,29.30
No.24,,,,,,,1,加地隆史,,,,0.69,
No.24,,,,,,,2,弭 政隆,,,,0.43,
No.24,,,,,,,3,溝井花代子,,,,0.35,
No.24,,,,,,,4,小林志穂,,,,0.26,
No.24,,,,,,,6,阿佐谷,,,,160歳,28.50
No.24,,,,,,,1,棚網宏之,,,,0.70,
No.24,,,,,,,2,棚網恵理,,,,0.37,
No.24,,,,,,,3,宀合恵,,,,0.35,
No.24,,,,,,,4,和田弘太郎,,,,0.27,
No.24,,,,,,,7,長津田,,,,182歳,28.93
No.24,,,,,,,1,藤本豊和,,,,0.75,
No.24,,,,,,,2,久保かおり,,,,0.45,
No.24,,,,,,,3,小澤有未,,,,0.16,
No.24,,,,,,,4,西野宀冬木,,,,0.52,
No.24,,,,,,,8,川崎,,,,161歳,28.05
No.24,,,,,,,1,中込孝之,,,,0.82,
No.24,,,,,,,2,錦織佳奈子,,,,0.39,
No.24,,,,,,,3,中山翠,,,,0.35,
No.24,,,,,,,4,河野大和,,,,0.32,
No.24,,,,,,,9,川.本,,,,182歳,27.32
No.24,,,,,,,1,吉川行,,,,0.68,
No.24,,,,,,,2,佐藤一弘,,,,0.54,
No.24,,,,,,,3,梅澤亮子,,,,0.60,
No.24,,,,,,,4,村岡亠奈,,,,0.59,
No.24,,,,,,,10,川崎,,,,165歳,29.06
No.24,,,,,,,1,小林弘,,,,0.76,
No.24,,,,,,,2,土井直子,,,,0.47,
No.24,,,,,,,3,加藤慎ロ,,,,0.62,
No.24,,,,,,,4,佐伯康子,,,,0.00,
No.24,,,,,,,11,谷津,,,,166歳,34.71
No.24,,,,,,,1,温井芳浩,,,,0.93,
No.24,,,,,,,2,岡田星理,,,,0.07,
No.24,,,,,,,3,堀内浩子,,,,0.30,
No.24,,,,,,,4,石川和樹,,,,0.31,
No.24,,,,,,,12,用賀,,,,185歳,46.47
No.24,,,,,,,1,吉田絵美,,,,0.87,
No.24,,,,,,,2,川永利子,,,,0.60,
No.24,,,,,,,3,井智貴,,,,0.34,
No.24,,,,,,,4,澤英也,,,,0.12,
No.24,,,,,,,13,我孫子,,,,199歳,43.29
No.24,,,,,,,1,角南美貴,,,,0.79,
No.24,,,,,,,2,沢純也,,,,0.37,
No.24,,,,,,,3,日置睦,,,,0.75,
No.24,,,,,,,4,形秀一,,,,0.15,
No.24,,,,,,,14,南青山,,,,165歳,41.97
No.24,,,,,,,1,岸田孝,,,,1.01,
No.24,,,,,,,2,皆川みれ,,,,0.65,
No.24,,,,,,,3,芳賀加代子,,,,0.32,
No.24,,,,,,,4,藤田駿祐,,,,0.80,
No.24,,,,,,,1,中村浩司,,,,,
No.24,,,,,,,2,角田優佳里,,,,,
No.24,,,,,,,3,田中香苗,,,,,
No.24,,,,,,,4,武本侑己,,,,,
No.24,,,,,,,1,葛西,,,,140歳,26.66
No.24,,,,,,,1,前島悠也,,,,0.67,
No.24,,,,,,,2,青木梨緒,,,,0.18,
No.24,,,,,,,3,大椛詩織,,,,0.49,
No.24,,,,,,,4,青木圭祐,,,,0.18,
No.24,,,,,,,2,南千住,,,,123歳,27.60
No.24,,,,,,,1,村上裕哉,,,,0.66,
No.24,,,,,,,2,宀川航,,,,0.20,
No.24,,,,,,,3,真如美優,,,,0.35,
No.24,,,,,,,4,吉田のばら,,,,0.37,
No.24,,,,,,,3,長津田,,,,133歳,27.03
No.24,,,,,,,1,村田雅治,,,,0.66,
No.24,,,,,,,2,竹下翔,,,,0.38,
No.24,,,,,,,3,川.恵,,,,0.26,
No.24,,,,,,,4,吉村華余,,,,0.47,
No.24,,,,,,,4,成城,,,,126歳,25.37
No.24,,,,,,,1,板場貴大,,,,0.64,
No.24,,,,,,,2,中畑眸,,,,0.52,
No.24,,,,,,,3,岩田愛恵,,,,0.40,
No.24,,,,,,,4,柿沼龍史,,,,0.44,
No.24,,,,,,,5,二俣川,,,,121歳,26.23
No.24,,,,,,,1,田中啓二朗,,,,0.62,
No.24,,,,,,,2,竹下菜々美,,,,0.34,
No.24,,,,,,,3,前田由希映,,,,0.46,
No.24,,,,,,,4,田中壮一郎,,,,0.26,
No.24,,,,,,,6,大宀宀原,,,,126歳,31.02
No.24,,,,,,,1,皆川雅登,,,,0.77,
No.24,,,,,,,2,櫻井春佳,,,,0.53,
No.24,,,,,,,3,松澤春菜,,,,0.70,
No.24,,,,,,,4,岡内昭伍,,,,0.10,
No.24,,,,,,,7,茂原,,,,154歳,35.59
No.24,,,,,,,1,山本和巳,,,,0.72,
No.24,,,,,,,2,岡澤美咲,,,,0.28,
No.24,,,,,,,3,岡澤志織,,,,0.41,
No.24,,,,,,,4,神戸優悠希,,,,0.29,
No.24,,,,,,,8,平塚,,,,139歳,37.69
No.24,,,,,,,1,比留川美緒,,,,0.72,
No.24,,,,,,,2,土屋大貴,,,,0.27,
No.24,,,,,,,3,長谷川輝,,,,0.41,
No.24,,,,,,,4,木田景子,,,,0.10,
No.24,,,,,,,1,成城,,,,95歳,25.18
No.24,,,,,,,1,服部碧,,,,0.67,
No.24,,,,,,,2,仲田笑美,,,,0.28,
No.24,,,,,,,3,丸玖瑠都,,,,0.36,
No.24,,,,,,,4,里田大介,,,,0.05,
No.24,,,,,,,2,長津田,,,,116歳,25.36
No.24,,,,,,,1,村田斗,,,,0.67,
No.24,,,,,,,2,花井一也,,,,0.25,
No.24,,,,,,,3,高橋良,,,,0.39,
No.24,,,,,,,4,森谷麻貴,,,,0.37,
No.24,,,,,,,3,圭瀬,,,,117歳,27.53
No.24,,,,,,,1,西沢歩,,,,0.69,
No.24,,,,,,,2,大里明日香,,,,0.30,
No.24,,,,,,,3,梶井美杏,,,,0.25,
No.24,,,,,,,4,今里昂哉,,,,0.36,
