round,pool_type,race_no,gender,event_name,age_group_label,world_record,japan_record,meet_record,rank,team_name,combined_age,lane,time_display,time_seconds,is_meet_record,is_japan_record,is_world_record,lap_times
78,長水路,3,女子,4×50mフリーリレー,320～359歳,2:52.72,2:52.72,3:16.24,1,天王洲,330,1/8,3:50.50,230.5,False,False,False,"50.47,1:51.79,2:49.93"
78,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:23.39,2:45.72,1,大森,285,3/3,2:46.36,166.36,False,False,False,"38.91,1:20.96,2:05.65"
78,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:23.39,2:45.72,2,天王洲,281,2/7,2:52.09,172.09,False,False,False,"49.83,1:32.63,2:12.89"
78,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:23.39,2:45.72,3,柏,310,2/6,3:00.04,180.04,False,False,False,"44.67,1:29.89,2:17.87"
78,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:23.39,2:45.72,4,用賀,297,1/5,3:09.59,189.59,False,False,False,"47.91,1:43.34,2:28.33"
78,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:23.39,2:45.72,5,戸塚,283,1/7,3:15.33,195.33,False,False,False,"47.43,1:37.00,2:28.24"
78,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:23.39,2:45.72,6,慶應日吉,281,1/6,3:24.74,204.74,False,False,False,"57.29,1:51.25,2:40.66"
78,長水路,3,女子,4×50mフリーリレー,280～319歳,2:14.99,2:23.39,2:45.72,7,天王洲,299,1/4,3:40.92,220.92000000000002,False,False,False,"55.66,1:46.58,2:43.66"
78,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,1,二俣川,262,4/10,2:24.92,144.92000000000002,False,False,False,"36.64,1:14.29,1:52.47"
78,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,2,成城,252,3/2,2:33.32,153.32,False,False,False,"34.38,1:16.02,1:55.16"
78,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,3,おおたか,247,2/4,2:39.70,159.7,False,False,False,"35.91,1:19.09,2:00.67"
78,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,4,川崎,240,2/8,2:45.83,165.82999999999998,False,False,False,"38.12,1:21.21,2:06.94"
78,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,5,おおたか,253,2/3,2:46.12,166.12,False,False,False,"36.83,1:21.86,2:04.49"
78,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,6,慶應日吉,240,3/7,2:49.06,169.06,False,False,False,"42.09,1:25.43,2:13.21"
78,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,7,南千住,252,2/2,3:05.68,185.68,False,False,False,"45.10,1:40.30,2:27.57"
78,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,8,大森,258,3/9,3:17.96,197.96,False,False,False,"49.82,1:41.98,2:38.19"
78,長水路,3,女子,4×50mフリーリレー,240～279歳,2:00.75,2:07.60,2:18.66,9,流山,264,1/3,3:25.69,205.69,False,False,False,"50.52,1:43.11,2:37.93"
78,長水路,3,女子,4×50mフリーリレー,200～239歳,1:54.10,1:58.55,2:09.81,1,慶應日吉,200,4/9,2:20.57,140.57,False,False,False,"36.89,1:10.49,1:49.64"
78,長水路,3,女子,4×50mフリーリレー,200～239歳,1:54.10,1:58.55,2:09.81,2,市川,205,4/1,2:25.07,145.07,False,False,False,"30.38,1:09.50,1:47.67"
78,長水路,3,女子,4×50mフリーリレー,200～239歳,1:54.10,1:58.55,2:09.81,3,八景,227,3/8,2:27.80,147.8,False,False,False,"33.65,1:15.86,1:52.27"
78,長水路,3,女子,4×50mフリーリレー,200～239歳,1:54.10,1:58.55,2:09.81,4,二俣川,230,3/4,2:33.02,153.02,False,False,False,"36.52,1:16.88,1:53.39"
78,長水路,3,女子,4×50mフリーリレー,200～239歳,1:54.10,1:58.55,2:09.81,5,清瀬,229,2/5,2:35.49,155.49,False,False,False,"35.79,1:18.05,1:59.09"
78,長水路,3,女子,4×50mフリーリレー,200～239歳,1:54.10,1:58.55,2:09.81,6,志木,230,3/1,2:47.59,167.59,False,False,False,"44.87,1:27.66,2:12.72"
78,長水路,3,女子,4×50mフリーリレー,200～239歳,1:54.10,1:58.55,2:09.81,7,横浜,230,3/10,2:50.72,170.72,False,False,False,"38.36,1:34.54,2:12.23"
78,長水路,3,女子,4×50mフリーリレー,160～199歳,1:48.44,1:54.99,2:05.08,1,成城,161,4/7,2:11.70,131.7,False,False,False,"30.55,1:06.34,1:40.47"
78,長水路,3,女子,4×50mフリーリレー,160～199歳,1:48.44,1:54.99,2:05.08,2,葛西,181,4/2,2:12.39,132.39,False,False,False,"31.12,1:05.62,1:41.27"
78,長水路,3,女子,4×50mフリーリレー,160～199歳,1:48.44,1:54.99,2:05.08,3,市ヶ尾,194,4/3,2:12.93,132.93,False,False,False,"30.65,1:04.77,1:41.77"
78,長水路,3,女子,4×50mフリーリレー,160～199歳,1:48.44,1:54.99,2:05.08,4,二俣川,169,4/8,2:16.37,136.37,False,False,False,"36.15,1:12.12,1:46.27"
78,長水路,3,女子,4×50mフリーリレー,160～199歳,1:48.44,1:54.99,2:05.08,5,天王洲,173,3/6,2:24.63,144.63,False,False,False,"35.41,1:12.92,1:50.36"
78,長水路,3,女子,4×50mフリーリレー,160～199歳,1:48.44,1:54.99,2:05.08,6,南青山,163,3/5,2:28.55,148.55,False,False,False,"33.29,1:10.66"
78,長水路,3,女子,4×50mフリーリレー,120～159歳,1:49.03,1:48.68,2:00.42,1,長津田,141,4/6,2:05.50,125.5,False,False,False,"31.28,1:02.06,1:35.44"
78,長水路,3,女子,4×50mフリーリレー,72～119歳,1:48.16,1:48.39,1:57.97,1,蒲田,114,4/5,2:02.50,122.5,False,False,False,"30.43,1:03.04,1:33.31"
78,長水路,4,男子,4×50mフリーリレー,280～319歳,1:53.43,2:02.04,2:18.54,1,成城,284,1/5,2:22.90,142.9,False,False,False,"31.07,1:06.82,1:43.54"
78,長水路,4,男子,4×50mフリーリレー,240～279歳,1:42.40,1:51.63,1:53.10,1,二俣川,241,3/2,2:04.13,124.13,False,False,False,"31.89,1:06.75,1:33.59"
78,長水路,4,男子,4×50mフリーリレー,240～279歳,1:42.40,1:51.63,1:53.10,2,市ヶ尾,250,3/1,2:07.63,127.63,False,False,False,"30.03,1:01.82,1:36.71"
78,長水路,4,男子,4×50mフリーリレー,240～279歳,1:42.40,1:51.63,1:53.10,3,用賀,240,3/9,2:10.67,130.67,False,False,False,"35.34,1:07.47,1:40.66"
78,長水路,4,男子,4×50mフリーリレー,240～279歳,1:42.40,1:51.63,1:53.10,4,長津田,241,3/10,2:18.15,138.15,False,False,False,"34.87,1:14.89,1:47.51"
78,長水路,4,男子,4×50mフリーリレー,240～279歳,1:42.40,1:51.63,1:53.10,5,阿佐谷,248,2/2,2:26.87,146.87,False,False,False,"36.19,1:16.65,1:52.24"
78,長水路,4,男子,4×50mフリーリレー,240～279歳,1:42.40,1:51.63,1:53.10,6,慶應日吉,248,1/6,2:28.59,148.59,False,False,False,"40.46,1:18.99,1:51.36"
78,長水路,4,男子,4×50mフリーリレー,200～239歳,1:38.24,1:43.25,1:46.48,1,二俣川,201,4/1,1:54.99,114.99000000000001,False,False,False,"30.17,1:00.01,1:28.45"
78,長水路,4,男子,4×50mフリーリレー,200～239歳,1:38.24,1:43.25,1:46.48,2,葛西,203,3/4,1:55.64,115.64,False,False,False,"30.91,1:01.60,1:31.08"
