ID,回,順位,チーム名,フリガナ,得点,男子,女子,混合
43,80,43位,弘前,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾋﾛｻｷ,42,20,22,0
44,80,44位,南大沢,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾐﾅﾐｵｵｻﾜ,35,11,24,0
45,80,45位,西新井,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾆｼｱﾗｲ,31,17,14,0
46,80,46位,長津田,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅｶﾞﾂﾀﾐﾅﾐﾀﾞｲ,29,9,20,0
47,80,47位,大船,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾌﾅ,28,27,1,0
48,80,48位,緑ヶ丘,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾐﾄﾞﾘｶﾞｵｶ,27,17,10,0
49,80,49位,府中,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾌﾁｭｳ,25,9,16,0
50,80,50位,仙台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｾﾝﾀﾞｲ,24,21,3,0
51,80,51位,蒲田,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶﾏﾀ,22,22,0,0
52,80,52位,西台,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾆｼﾀﾞｲ,21,7,14,0
53,80,52位,日吉,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾋﾖｼ,21,21,0,0
54,80,54位,湘南台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｼｮｳﾅﾝﾀﾞｲ,19,10,9,0
55,80,55位,盛岡,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾓﾘｵｶ,17,0,17,0
56,80,56位,福生,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌｯｻ,16,0,16,0
57,80,57位,小倉,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｺｸﾗ,15,8,7,0
58,80,58位,CS南行徳,ｾﾝﾄﾗﾙｽﾎﾟｰﾂﾐﾅﾐｷﾞｮｳﾄｸ,14,0,14,0
59,80,58位,新三郷,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾝﾐｻﾄ,14,0,14,0
60,80,58位,戸塚,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞﾄﾂｶ,14,0,14,0
61,80,61位,セン南,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｾﾝﾀｰﾐﾅﾐ,12,12,0,0
62,80,62位,F東戸塚,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾋｶﾞｼﾄﾂｶ,10,10,0,0
63,80,62位,溝ノ口,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾐｿﾞﾉｸﾁ,10,0,10,0
64,80,64位,下北沢,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾓｷﾀｻﾞﾜ,9,9,0,0
65,80,65位,湘南LT,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼｮｳﾅﾝｴﾙﾃ,8,8,0,0
66,80,66位,福島,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾌｸｼﾏ,7,7,0,0
67,80,67位,川越,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｶﾜｺﾞｴ,2,2,0,0
