round,pool_type,rank,team_name,furigana,total_points,male_points,female_points,mixed_points
80,長水路,1,セ・二俣川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌﾀﾏﾀｶﾞﾜ,637.0,322.0,245.0,70.0
80,長水路,2,セ・阿佐谷,ﾄｰｱｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｱｻｶﾞﾔ,567.0,296.0,218.0,53.0
80,長水路,3,セ・市ヶ尾,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾁｶﾞｵ,480.0,278.0,133.0,69.0
80,長水路,4,セ・葛西,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｻｲ,449.0,220.0,223.0,6.0
80,長水路,5,セ・おおたか,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾀｶﾉﾓﾘ,432.0,248.0,156.0,28.0
80,長水路,6,セ・成城,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｾｲｼﾞｮｳ,424.0,231.0,149.0,44.0
80,長水路,7,セ・慶應日吉,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｹｲｵｳﾋﾖｼ,408.0,151.0,235.0,22.0
80,長水路,8,セ・武蔵小杉,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾑｻｼｺｽｷﾞ,370.0,191.0,155.0,24.0
80,長水路,9,セ・長津田,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅｶﾞﾂﾀﾐﾅﾐﾀﾞｲ,317.0,132.0,141.0,44.0
80,長水路,10,セ・大宮宮原,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾐﾔﾐﾊﾗ,285.0,185.0,73.0,27.0
80,長水路,11,セ・天王洲,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾃﾝﾉｳｽﾞ,274.0,163.0,111.0,0.0
80,長水路,12,セ・用賀,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾖｳｶﾞ,264.0,137.0,111.0,16.0
80,長水路,13,セ・清瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｷﾖｾ,256.0,88.0,161.0,7.0
80,長水路,14,セ・松戸,ﾆｯｾｲｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾏﾂﾄﾞ,237.0,41.0,196.0,0.0
80,長水路,15,セ・大森,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾓﾘ,233.0,91.0,122.0,20.0
80,長水路,16,セ・八王子,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾊﾁｵｳｼﾞ,213.0,104.0,93.0,16.0
80,長水路,17,セ・成瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅﾙｾ,199.0,65.0,124.0,10.0
80,長水路,18,セ・南千住,ｾ・ｳｪﾙﾈﾙｸﾗﾌﾞ ﾐﾅﾐｾﾝｼﾞｭ,191.0,39.0,137.0,15.0
80,長水路,19,セ・上池袋,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶﾐｲｹﾌﾞｸﾛ,171.0,93.0,78.0,0.0
80,長水路,20,セ・越谷,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｺｼｶﾞﾔ,150.0,87.0,63.0,0.0
80,長水路,21,セ・西新井,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾆｼｱﾗｲ,149.0,64.0,79.0,6.0
80,長水路,22,セ・我孫子,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｱﾋﾞｺ,147.0,75.0,69.0,3.0
80,長水路,23,セ・流山,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾅｶﾞﾚﾔﾏ,142.0,84.0,58.0,0.0
80,長水路,24,セ・ときわ台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾄｷﾜﾀﾞｲ,140.0,93.0,47.0,0.0
80,長水路,25,セ・桶川北本,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｹｶﾞﾜｷﾀﾓﾄ,138.0,27.0,88.0,23.0
80,長水路,26,セ・横浜,ｾﾝﾄﾗﾙｽｲﾑｸﾗﾌﾞ ﾖｺﾊﾏ,133.0,47.0,85.0,1.0
80,長水路,27,セ・南青山,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾐﾅﾐｱｵﾔﾏ,103.0,60.0,40.0,3.0
80,長水路,28,セ・茂原,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾓﾊﾞﾗ,92.0,68.0,19.0,5.0
80,長水路,29,ザバス八景,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞｶﾅｻﾞﾜﾊｯｹｲ,89.0,55.0,29.0,5.0
80,長水路,30,セ・トレッサ,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾄﾚｯｻｵｵｸﾗﾔ,81.0,63.0,18.0,0.0
80,長水路,31,セ・谷津,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾔﾂ,78.0,41.0,37.0,0.0
80,長水路,32,セ・柏,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｼﾜ,73.0,59.0,14.0,0.0
80,長水路,33,セ・袖ヶ浦,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｿﾃﾞｶﾞｳﾗｴｷﾏ,65.0,16.0,49.0,0.0
80,長水路,34,セ・志木,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｼｷ,63.0,40.0,23.0,0.0
80,長水路,35,セ・館山,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞﾀﾃﾔﾏ,57.0,20.0,37.0,0.0
80,長水路,36,セ・稲毛海岸,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾅｹﾞｶｲｶﾞ,56.0,23.0,33.0,0.0
