ID,回,順位,チーム名,フリガナ,得点,男子,女子,混合
1,80,1位,セ・二俣川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌﾀﾏﾀｶﾞﾜ,637.0,322.0,245.0,70.0
2,80,2位,セ・阿佐谷,ﾄｰｱｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｱｻｶﾞﾔ,567.0,296.0,218.0,53.0
3,80,3位,セ・市ヶ尾,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾁｶﾞｵ,480.0,278.0,133.0,69.0
4,80,4位,セ・葛西,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｻｲ,449.0,220.0,223.0,6.0
5,80,5位,セ・おおたか,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾀｶﾉﾓﾘ,432.0,248.0,156.0,28.0
6,80,6位,セ・成城,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｾｲｼﾞｮｳ,424.0,231.0,149.0,44.0
7,80,7位,セ・慶應日吉,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｹｲｵｳﾋﾖｼ,408.0,151.0,235.0,22.0
8,80,8位,セ・武蔵小杉,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾑｻｼｺｽｷﾞ,370.0,191.0,155.0,24.0
9,80,9位,セ・長津田,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅｶﾞﾂﾀﾐﾅﾐﾀﾞｲ,317.0,132.0,141.0,44.0
10,80,10位,セ・大宮宮原,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾐﾔﾐﾊﾗ,285.0,185.0,73.0,27.0
11,80,11位,セ・天王洲,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾃﾝﾉｳｽﾞ,274.0,163.0,111.0,0.0
12,80,12位,セ・用賀,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾖｳｶﾞ,264.0,137.0,111.0,16.0
13,80,13位,セ・清瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｷﾖｾ,256.0,88.0,161.0,7.0
14,80,14位,セ・松戸,ﾆｯｾｲｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾏﾂﾄﾞ,237.0,41.0,196.0,0.0
15,80,15位,セ・大森,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾓﾘ,233.0,91.0,122.0,20.0
16,80,16位,セ・八王子,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾊﾁｵｳｼﾞ,213.0,104.0,93.0,16.0
17,80,17位,セ・成瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅﾙｾ,199.0,65.0,124.0,10.0
18,80,18位,セ・南千住,ｾ・ｳｪﾙﾈﾙｸﾗﾌﾞ ﾐﾅﾐｾﾝｼﾞｭ,191.0,39.0,137.0,15.0
19,80,19位,セ・上池袋,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶﾐｲｹﾌﾞｸﾛ,171.0,93.0,78.0,0.0
20,80,20位,セ・越谷,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｺｼｶﾞﾔ,150.0,87.0,63.0,0.0
21,80,21位,セ・西新井,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾆｼｱﾗｲ,149.0,64.0,79.0,6.0
22,80,22位,セ・我孫子,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｱﾋﾞｺ,147.0,75.0,69.0,3.0
23,80,23位,セ・流山,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾅｶﾞﾚﾔﾏ,142.0,84.0,58.0,0.0
24,80,24位,セ・ときわ台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾄｷﾜﾀﾞｲ,140.0,93.0,47.0,0.0
25,80,25位,セ・桶川北本,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｹｶﾞﾜｷﾀﾓﾄ,138.0,27.0,88.0,23.0
26,80,26位,セ・横浜,ｾﾝﾄﾗﾙｽｲﾑｸﾗﾌﾞ ﾖｺﾊﾏ,133.0,47.0,85.0,1.0
27,80,27位,セ・南青山,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾐﾅﾐｱｵﾔﾏ,103.0,60.0,40.0,3.0
28,80,28位,セ・茂原,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾓﾊﾞﾗ,92.0,68.0,19.0,5.0
29,80,29位,ザバス八景,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞｶﾅｻﾞﾜﾊｯｹｲ,89.0,55.0,29.0,5.0
30,80,30位,セ・トレッサ,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾄﾚｯｻｵｵｸﾗﾔ,81.0,63.0,18.0,0.0
31,80,31位,セ・谷津,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾔﾂ,78.0,41.0,37.0,0.0
32,80,32位,セ・柏,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｼﾜ,73.0,59.0,14.0,0.0
33,80,33位,セ・袖ヶ浦,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｿﾃﾞｶﾞｳﾗｴｷﾏ,65.0,16.0,49.0,0.0
34,80,34位,セ・志木,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｼｷ,63.0,40.0,23.0,0.0
35,80,35位,セ・館山,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞﾀﾃﾔﾏ,57.0,20.0,37.0,0.0
36,80,36位,セ・稲毛海岸,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾅｹﾞｶｲｶﾞ,56.0,23.0,33.0,0.0
37,80,37位,Ｇ－ＳＰＡ,ｺﾞｰﾙﾃﾞﾝｽﾊﾟﾆｭｰｵｰﾀﾆ,54.0,18.0,36.0,0.0
38,80,38位,セ・東戸塚,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞﾋｶﾞｼﾄﾂｶ,48.0,35.0,13.0,0.0
39,80,39位,セ・市川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾁｶﾜ,47.0,30.0,17.0,0.0
40,80,40位,セ・八千代台,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾔﾁﾖﾀﾞｲ,45.0,29.0,16.0,0.0
41,80,40位,セ・能見台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾉｳｹﾝﾀﾞｲ,45.0,20.0,25.0,0.0
42,80,42位,セ・南宇都宮,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞﾐﾅﾐｳﾂﾉﾐﾔ,44.0,10.0,34.0,0.0
43,80,43位,セ・福生,ｾﾝﾄﾗﾙｽﾎﾟｰﾂﾌｯｻ,36.0,2.0,34.0,0.0
44,80,44位,セ・青砥,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｱｵﾄ,35.0,24.0,8.0,3.0
45,80,45位,ザバス鶴見,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞﾂﾙﾐ,34.0,34.0,0.0,0.0
46,80,46位,セ・府中,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌﾁｭｳ,33.0,16.0,17.0,0.0
47,80,47位,セ・新川崎,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾝｶﾜｻｷ,31.0,18.0,13.0,0.0
48,80,48位,セ・目黒,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾒｸﾞﾛ,29.0,6.0,23.0,0.0
49,80,49位,墨田区体育館,ｽﾐﾀﾞｸｿｳｺﾞｳﾀｲｲｸｶﾝ,26.0,12.0,14.0,0.0
50,80,50位,セ・Ｆ宇都宮,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｳﾂﾉﾐﾔ,24.0,7.0,17.0,0.0
51,80,50位,曽谷・セ,ｿﾔｾﾝﾄﾗﾙｽｲﾑｸﾗﾌﾞ,24.0,9.0,15.0,0.0
52,80,52位,セ・久喜,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾆｼﾞｭｳﾖﾝｸｷ,23.0,16.0,7.0,0.0
53,80,53位,セ・藤沢,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌｼﾞｻﾜ,22.0,12.0,10.0,0.0
54,80,54位,セ・自由が丘,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾞﾕｳｶﾞｵｶ,17.0,0.0,17.0,0.0
55,80,54位,セ・平塚,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾋﾗﾂｶ,17.0,0.0,17.0,0.0
56,80,56位,セ・岩槻,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞｲﾜﾂｷ,15.0,15.0,0.0,0.0
57,80,56位,セ・新都心,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｻｲﾀﾏｼﾝﾄｼﾝ,15.0,8.0,7.0,0.0
58,80,58位,ＣＳ南行徳,ｾﾝﾄﾗﾙｽﾎﾟｰﾂﾐﾅﾐｷﾞｮｳﾄｸ,14.0,0.0,14.0,0.0
59,80,58位,セ・新三郷,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾝﾐｻﾄ,14.0,0.0,14.0,0.0
60,80,58位,セ・戸塚,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞﾄﾂｶ,14.0,0.0,14.0,0.0
61,80,61位,セ・セン南,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｾﾝﾀｰﾐﾅﾐ,12.0,12.0,0.0,0.0
62,80,62位,セ・Ｆ東戸塚,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾋｶﾞｼﾄﾂｶ,10.0,10.0,0.0,0.0
63,80,62位,セ・溝ノ口,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾐｿﾞﾉｸﾁ,10.0,0.0,10.0,0.0
64,80,64位,セ・下北沢,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾓｷﾀｻﾞﾜ,9.0,9.0,0.0,0.0
65,80,65位,セ・湘南ＬＴ,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼｮｳﾅﾝｴﾙﾃ,8.0,8.0,0.0,0.0
66,80,66位,セ・福島,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾌｸｼﾏ,7.0,7.0,0.0,0.0
67,80,67位,セ・川越,ｾﾝﾄﾗﾙｽｲﾑｸﾗﾌﾞｶﾜｺﾞｴ,2.0,0.0,2.0,0.0
