round,pool_type,rank,team_name,furigana,total_points,male_points,female_points,mixed_points
79,短水路,33,セントラルスイムクラブ湘南台,ｾﾝﾄﾗﾙｽｲﾑｸﾗﾌﾞ ｼｮｳﾅﾝﾀﾞｲ,124.0,0,0,0
79,短水路,35,セントラルウェルネスクラブ西新井,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ﾆｼｱﾗｲ,122.0,0,0,0
79,短水路,36,ザバススポーツクラブ金沢八景,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞ ｶﾅｻﾞﾜﾊｯｹｲ,118.0,0,0,0
79,短水路,37,セントラルウェルネスクラブ24久喜,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ﾆｼﾞｭｳﾖﾝｸｷ,114.0,0,0,0
79,短水路,38,セントラルスポーツフッサ,ｾﾝﾄﾗﾙｽﾎﾟｰﾂﾌｯｻ,104.0,0,0,0
79,短水路,39,ラヴィセントラルフィットネスクラブ蒲田,ﾗｳﾞｨｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｶﾏﾀ,101.0,0,0,0
79,短水路,40,セントラルウェルネスクラブ志木,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｼｷ,100.0,0,0,0
79,短水路,41,セントラルスポーツ南行徳,ｾﾝﾄﾗﾙｽﾎﾟｰﾂﾐﾅﾐｷﾞｮｳﾄｸ,99.0,0,0,0
79,短水路,42,セントラルスイムクラブ横浜,ｾﾝﾄﾗﾙｽｲﾑｸﾗﾌﾞ ﾖｺﾊﾏ,97.0,0,0,0
79,短水路,43,セントラルフィットネスクラブ茂原,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾓﾊﾞﾗ,88.0,0,0,0
79,短水路,44,セントラルウェルネスクラブときわ台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ﾄｷﾜﾀﾞｲ,87.0,0,0,0
79,短水路,45,セントラルスポーツクラブ館山,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞ ﾀﾃﾔﾏ,86.0,0,0,0
79,短水路,46,セントラルフィットネスクラブ市川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｲﾁｶﾜ,85.0,0,0,0
79,短水路,47,セントラルフィットネスクラブ八千代台,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾔﾁﾖﾀﾞｲ,80.0,0,0,0
79,短水路,48,セントラルウェルネスクラブ能見台,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ﾉｳｹﾝﾀﾞｲ,78.0,0,0,0
79,短水路,49,ゴールデンスパ・ニューオータニ,ｺﾞｰﾙﾃﾞﾝｽﾊﾟ ﾆｭｰｵｰﾀﾆ,70.0,0,0,0
79,短水路,50,セントラルフィットネスクラブ亀有,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｶﾒｱﾘ,68.0,0,0,0
79,短水路,50,セントラルフィットネスクラブ府中,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾌUCHU,68.0,0,0,0
79,短水路,52,セントラルフィットネスクラブ目黒,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾒｸﾞﾛ,60.0,0,0,0
79,短水路,53,セントラルフィットネスクラブ藤沢,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾌｼﾞｻﾜ,59.0,0,0,0
79,短水路,54,セントラルスポーツクラブ宇都宮,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞ ｳﾂﾉﾐﾔ,57.0,0,0,0
79,短水路,55,セントラルフィットネスクラブ谷津,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾔﾂ,55.0,0,0,0
79,短水路,55,セントラルウェルネスクラブさいたま新都心,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ｻｲﾀﾏｼﾝﾄｼﾝ,55.0,0,0,0
79,短水路,57,セントラルフィットネスクラブ稲毛海岸,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｲﾅｹﾞｶｲｶﾞﾝ,53.0,0,0,0
79,短水路,58,セントラルフィットネスクラブ湘南LT,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｼｮｳﾅﾝｴﾙﾃｨ,48.0,0,0,0
79,短水路,59,曽谷セントラルスイムクラブ,ｿﾔｾﾝﾄﾗﾙｽｲﾑｸﾗﾌﾞ,47.0,0,0,0
79,短水路,60,セントラルスポーツクリーンスパ市川,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾘｰﾝｽﾊﾟ ｲﾁｶﾜ,45.0,0,0,0
79,短水路,61,セントラルフィットネスクラブ下北沢,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｼﾓｷﾀｻﾞﾜ,41.0,0,0,0
79,短水路,61,セントラルウェルネスクラブ東十条,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ﾋｶﾞｼｼﾞｭｳｼﾞｮｳ,41.0,0,0,0
79,短水路,63,セントラルスポーツクラブ東戸塚,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞ ﾋｶﾞｼﾄﾂｶ,40.0,0,0,0
79,短水路,64,セントラルフィットネスクラブ新川崎,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｼﾝｶﾜｻｷ,39.0,0,0,0
79,短水路,65,セントラルフィットネスクラブ宇都宮,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｳﾂﾉﾐﾔ,38.0,0,0,0
79,短水路,66,墨田区総合体育館,ｽﾐﾀﾞｸｿｳｺﾞｳﾀｲｲｸｶﾝ,36.0,0,0,0
79,短水路,67,ザバススポーツクラブ鶴見,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞ ﾂﾙﾐ,34.0,0,0,0
79,短水路,68,セントラルスポーツクラブ戸塚,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞ ﾄﾂｶ,28.0,0,0,0
79,短水路,69,セントラルフィットネスクラブ青砥,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｱｵﾄ,23.0,0,0,0
79,短水路,70,セントラルフィットネスクラブ新三郷,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｼﾝﾐｻﾄ,21.0,0,0,0
79,短水路,71,セントラルウェルネスクラブ高崎,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ﾀｶｻｷ,20.0,0,0,0
79,短水路,72,セントラルフィットネスクラブ溝ノ口,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾐｿﾞﾉｸﾁ,16.0,0,0,0
79,短水路,73,セントラルウェルネスクラブ福島,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞ ﾌｸｼﾏ,15.0,0,0,0
79,短水路,73,セントラルフィットネスクラブ東戸塚,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ﾋｶﾞｼﾄﾂｶ,15.0,0,0,0
79,短水路,75,セントラルスポーツクラブ岩槻,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞ ｲﾜﾂｷ,14.0,0,0,0
79,短水路,75,セントラルフィットネスクラブ越谷レイクタウン,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞ ｺｼｶﾞﾔﾚｲｸﾀｳﾝ,14.0,0,0,0
79,短水路,77,セントラルスイムクラブ川越,ｾﾝﾄﾗﾙｽｲﾑｸﾗﾌﾞ ｶﾜｺﾞｴ,1.0,0,0,0
