round,pool_type,rank,team_name,furigana,total_points,male_points,female_points,mixed_points
75,長水路,1,セ・二俣川,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌﾀﾏﾀｶﾞﾜ,1115.0,486.0,522.0,107.0
75,長水路,2,セ・成城,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｾｲｼﾞｮｳ,840.0,284.0,450.0,106.0
75,長水路,3,ザバス鶴見,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞﾂﾙﾐ,783.0,398.0,304.0,81.0
75,長水路,4,セ・阿佐谷           ﾄｰｱｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｱｻｶﾞﾔ 660.0点  355.0点  250.0点,3位 ザバス鶴見           ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞﾂﾙﾐ       783.0点  398.0点  304.0点   81.0点,55.0,0,0,0
75,長水路,5,セ・清瀬,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｷﾖｾ,400.0,289.0,98.0,13.0
75,長水路,6,セ・慶應日吉         ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｹｲｵｳﾋヨシ 384.0点  232.0点  125.0点,5位 セ・清瀬             ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｷﾖｾ       400.0点  289.0点   98.0点   13.0点,27.0,0,0,0
75,長水路,7,セ・葛西,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｻｲ,363.0,127.0,225.0,11.0
75,長水路,8,セ・松戸             ﾆｯｾｲｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾏﾂﾄﾞ 332.0点   83.0点  248.0点,7位 セ・葛西             ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｶｻｲ       363.0点  127.0点  225.0点   11.0点,1.0,0,0,0
75,長水路,9,セ・大森,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾓﾘ,316.0,165.0,148.0,3.0
75,長水路,10,セ・天王洲,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾃﾝﾉｳｽﾞ,302.0,134.0,148.0,20.0
75,長水路,11,セ・越谷,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｺｼｶﾞﾔ,290.0,135.0,146.0,9.0
75,長水路,12,セ・おおたか,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾀｶﾉﾓﾘ,278.0,98.0,176.0,4.0
75,長水路,12,セ・長津田           ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾅｶﾞﾂﾀﾞﾐﾅﾐﾀﾞｲ 278.0点  127.0点   98.0点,12位 セ・おおたか         ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵﾀｶﾉﾓﾘ   278.0点   98.0点  176.0点    4.0点,53.0,0,0,0
75,長水路,14,セ・武蔵小杉,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾑｻｼｺｽｷﾞ,259.0,188.0,52.0,19.0
75,長水路,15,セ・千葉みなと,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾁﾊﾞﾐﾅﾄ,253.0,113.0,131.0,9.0
75,長水路,16,セ・市ヶ尾,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾁｶﾞｵ,249.0,137.0,89.0,23.0
75,長水路,17,セ・大宮宮原         ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｵｵミﾔミﾔハラ 242.0点  158.0点   65.0点,16位 セ・市ヶ尾           ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｲﾁｶﾞｵ    249.0点  137.0点   89.0点   23.0点,19.0,0,0,0
