ID,回,順位,チーム名,フリガナ,得点,男子,女子,混合
42,80,42位,南宇都宮,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞﾐﾅﾐｳﾂﾉﾐﾔ,44,10,34,0
43,80,43位,福生,ｾﾝﾄﾗﾙｽﾎﾟｰﾂﾌｯｻ,36,2,34,0
44,80,44位,青砥,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｱｵﾄ,35,24,8,3
45,80,45位,ザバス鶴見,ｻﾞﾊﾞｽｽﾎﾟｰﾂｸﾗﾌﾞﾂﾙﾐ,34,34,0,0
46,80,46位,府中,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌﾁｭｳ,33,16,17,0
47,80,47位,新川崎,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾝｶﾜｻｷ,31,18,13,0
48,80,48位,目黒,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾒｸﾞﾛ,29,6,23,0
49,80,49位,墨田区体育館,ｽﾐﾀﾞｸｿｳｺﾞｳﾀｲｲｸｶﾝ,26,12,14,0
50,80,50位,Ｆ宇都宮,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｳﾂﾉﾐﾔ,24,7,17,0
51,80,50位,曽谷,ｿﾔｾﾝﾄﾗﾙｽｲﾑｸﾗﾌﾞ,24,9,15,0
52,80,52位,久喜,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾆｼﾞｭｳﾖﾝｸｷ,23,16,7,0
53,80,53位,藤沢,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾌｼﾞｻﾜ,22,12,10,0
54,80,54位,自由が丘,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾞﾕｳｶﾞｵｶ,17,0,17,0
55,80,54位,平塚,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾋﾗﾂｶ,17,0,17,0
56,80,56位,岩槻,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞｲﾜﾂｷ,15,15,0,0
57,80,56位,新都心,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞｻｲﾀﾏｼﾝﾄｼﾝ,15,8,7,0
58,80,58位,CS南行徳,ｾﾝﾄﾗﾙｽﾎﾟｰﾂﾐﾅﾐｷﾞｮｳﾄｸ,14,0,14,0
59,80,58位,新三郷,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾝﾐｻﾄ,14,0,14,0
60,80,58位,戸塚,ｾﾝﾄﾗﾙｽﾎﾟｰﾂｸﾗﾌﾞﾄﾂｶ,14,0,14,0
61,80,61位,セン南,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｾﾝﾀｰﾐﾅﾐ,12,12,0,0
62,80,62位,F東戸塚,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾋｶﾞｼﾄﾂｶ,10,10,0,0
63,80,62位,溝ノ口,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞﾐｿﾞﾉｸﾁ,10,0,10,0
64,80,64位,下北沢,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼﾓｷﾀｻﾞﾜ,9,9,0,0
65,80,65位,湘南LT,ｾﾝﾄﾗﾙﾌｨｯﾄﾈｽｸﾗﾌﾞｼｮｳﾅﾝｴﾙﾃ,8,8,0,0
66,80,66位,福島,ｾﾝﾄﾗﾙｳｪﾙﾈｽｸﾗﾌﾞﾌｸｼﾏ,7,7,0,0
67,80,67位,川越,ｾﾝﾄﾗﾙｽｲﾑｸﾗﾌﾞｶﾜｺﾞｴ,2,0,2,0
